k,LB,UB,gap,sum_ms,ms,added_nodes,UB_node,new_nodes,as_nodes
9,-21.47775638406714,19.661061571004407,41.138817955071545,-41.1388179550715,"[-1.5990428373367098, -1.4057085142319048, -0.84657994402793, -0.1983711641202477, -0.9377223797527036, -1.1438893885620616, -0.3525551831653533, -1.113800971485237, -0.3355580591104992, -0.1382333356710484, -1.5363066271168826, -0.3449713052927321, -2.4595467514893983, -1.1151435576895277, -0.4161289713125951, -0.2242430847235286, -0.9161987334102821, -1.4477710211283883, -0.589360200228755, -0.5875331274796071, -0.39378206283302086, -1.1273077491268217, -2.684153118019898, -0.6675889721935166, -1.4460728763957222, -1.2904467243299242, -1.1919851305350955, -0.36124324875380776, -0.49033840330929834, -0.34665169295598985, -0.24456411713346649, -0.5952463899364553, -1.4911562283678823, -0.5650188644669973, -0.9366087969011463, -0.22838763652930283, -0.5470664802384972, -1.0014757071149956, -0.4806903606580142, -0.09713553868532535, -1.1645915000184688, -1.052062012685258, -0.4148856870356378, -0.24003698186197575, -0.4642776127053224, -0.5209317808418423, -0.6295938879571739, -0.6847151813070406, -0.6011138184433491, -1.4710242363948636]","[0.0, 0.23140269410029346, 0.23140268921985296]","[1.0, 1.0, 1.0]","[0.0, 0.06181316906931679, 0.06181316776575261]","[3.9007114612311193, 2.4205920396552045, 1.109851487426659, 0.5593037176349518, 0.9777785873250637, 0.792440233468763, 0.5164290177529021, 0.3616264624871053, 1.5653240115824705, 1.9313297541746577, 1.9490158382284433, 2.2475918469403418, 0.8673725432749343, 2.603489098157566, 1.0725457670205378, 1.0800592163994696, 3.13565204893704, 1.6588500371922663, 0.9100563244405339, 1.8634433135472872, 2.9361424012427446, 1.8665352609737245, 0.685802730607573, 3.0494985357821265, 0.7088402720237323, 3.227706970030653, 3.559647005125493, 3.4718932461080625, 2.4853516968818967, 0.7617539026381194]"
10,-14.435869132000509,19.661061571004407,34.096930703004915,-34.09693070300487,"[-1.4214492689582772, -1.0629984891575632, -0.6113929052527659, -0.2731390614347169, -0.722042186646132, -0.699241627429293, -0.3302702007732258, -0.7416648834489856, -0.3661350343686235, -0.13743668502337414, -1.3402049902566417, -0.24898939294795364, -2.2042119582713338, -0.6913804684590183, -0.4826569929044967, -0.17970539986458944, -0.8166456030976847, -1.1944633656616936, -0.39493275771426123, -0.6654940224313688, -0.39369201146710897, -0.8418462370850148, -2.3300431076170445, -0.4681163320970605, -1.2017941590614156, -1.1013732912350047, -0.8506528965396425, -0.35636337788132333, -0.432749008030793, -0.20705314078953074, -0.15394206255219633, -0.5416520698945091, -1.1666650920790913, -0.5480850928578263, -0.8071781820330324, -0.2317017952951248, -0.4610242153561137, -0.8800887021008097, -0.3562635929446525, -0.09768640796679068, -0.9923768766326775, -0.9280773735283269, -0.3352946865017027, -0.23435662141971758, -0.36723005142929954, -0.3597528423047759, -0.7021326049653747, -0.5064489604529764, -0.649448214322808, -1.0093864024611259]","[0.04361503854270288, 0.1930060748517003, 0.0]","[1.0, 1.0, 1.0]","[0.0, 0.008840853878401889, 0.008840853878401889]","[3.054419096960109, 1.772467228928573, 1.275236781560554, 0.4623751762304345, 0.6486041311839825, 0.5044991827148441, 0.4460209546225892, 0.27141388844990705, 1.0573791277150506, 1.5623508827977124, 1.6205185836961642, 1.5841314199409517, 0.5762157654881696, 1.8469403830187938, 0.7317183450479551, 0.7367355816079159, 2.246643815801027, 1.0641700191567913, 0.7378771158169813, 1.239747227792232, 2.2355704586365603, 1.2424500563625884, 0.5934983724088616, 2.2559588871684917, 0.5981782877731864, 2.397525226439748, 2.7132767579133894, 2.6402861712779315, 1.6879494474100276, 0.7445852764799878]"
11,-14.190668068272597,19.66106157044691,33.851729638719505,-33.85172963927696,"[-1.4152252478998115, -1.0630008194647804, -0.6134766532720125, -0.2732697637160344, -0.7138136336728258, -0.699241316427706, -0.33996324102215136, -0.7319390693787744, -0.36706219709096133, -0.13748006317499822, -1.3402165954985248, -0.2489889463962317, -2.2042236072389847, -0.6920109395849479, -0.48613712736549775, -0.17972019856918708, -0.8165989924507246, -1.1417229565923392, -0.3951583679054161, -0.6638972584306794, -0.3936873157567249, -0.8034151993155585, -2.3160461944996653, -0.46823612534934256, -1.2056336012718003, -1.1013725391207823, -0.8430975075402989, -0.3564142561221163, -0.4321905286773799, -0.20705352052653248, -0.15152166363551267, -0.5349472459205693, -1.1565774858468392, -0.5492814551257386, -0.8047102850459529, -0.23367077025603555, -0.46153133244842803, -0.8806522761147249, -0.3516687832663534, -0.09877179480708506, -0.9388871998924675, -0.9166964469196162, -0.3349566484572345, -0.23437632349865611, -0.3672942336315974, -0.35991521842568724, -0.7000391751112933, -0.5064416245838256, -0.6494269964956708, -0.9700688964608877]","[0.0, 0.21358974078943863, 0.0]","[1.0, 1.0, 1.0]","[0.0, 0.02802707636773177, 0.028027075776674987]","[2.8069996617289235, 1.3788890730375045, 2.0070752414110977, 0.7887674311367745, 1.1565237314326922, 0.635357391258203, 0.9382979127326323, 0.46501086657986973, 1.523352061532211, 2.289521197592774, 2.3727999650671165, 2.0434383413261505, 0.7652992653906237, 2.1244605764940094, 0.9234244714514303, 0.9249362097844701, 1.7817635007359403, 1.1150365295137512, 1.3845645085812297, 1.2719189568457272, 2.574724722982767, 1.2715306151402346, 1.1138373987467225, 2.449803859877261, 1.127860039425509, 2.4599112790852464, 2.632766903271042, 2.634876789486158, 1.6512502073460276, 1.402472965676165]"
12,-11.089057242762781,19.661061571004407,30.750118813767187,-30.750118813767145,"[-0.9185215060639289, -0.840840716416527, -0.6135642559814892, -0.2732869242653444, -0.5494047093335165, -0.6730191785584343, -0.3400613659203935, -0.7321291633592253, -0.36700404135167564, -0.13747577094014574, -0.9923756463275057, -0.248989590881866, -1.6322771305586734, -0.6916896307230307, -0.485756337635491, -0.1798621030317049, -0.8166533285467794, -1.141710143148543, -0.39459369438068337, -0.6654918746553459, -0.39378106626930953, -0.709651031984744, -2.005724564936334, -0.468143097537433, -0.9258403258035939, -0.9678269707924414, -0.7479487439788173, -0.3564164199352411, -0.43274987416521604, -0.1787907363174795, -0.1321935698785473, -0.5417666612359295, -0.9368356352350429, -0.5493686496124406, -0.8071221065185405, -0.23363843475038637, -0.4614483962075322, -0.8804956474436516, -0.3565440028054008, -0.09876997961807624, -0.8311794028291333, -0.9269922759855228, -0.3355447625375553, -0.23437822312198164, -0.36734046751271077, -0.3597921698622137, -0.7021552307157735, -0.5064503234288436, -0.6495785407168015, -0.9569443899501417]","[0.2906347743928169, 0.0, 0.0]","[1.0, 1.0, 1.0]","[0.0, 0.028221322587745384, 0.028221321992592183]","[2.1797722248545828, 1.3589577750995345, 2.150376159682373, 1.314206172880216, 1.4339067300199253, 0.9805704735096226, 1.405177861465771, 0.958273244517157, 1.8121752980268406, 2.110238427641368, 2.1546770028726234, 1.900727859823419, 1.17374741066941, 2.0179592434097744, 1.3040693222475257, 1.3028684418101404, 1.7553384351711685, 1.3755384666868675, 1.6778729190167967, 1.528465547880984, 2.1526502018037297, 1.5268352787199313, 1.6799191358269352, 2.0594127301346874, 1.7166326070257156, 2.1040088177755605, 2.1431688644515794, 2.1237474020368685, 1.765994378381537, 1.7756716019993861]"
13,-8.201214367657592,19.661061571004407,27.862275938662,-27.862275938661956,"[-0.9197937339524844, -0.7317207770904768, -0.6136464985131407, -0.27328117460440104, -0.5513456035777167, -0.5381474281269334, -0.34005856077178265, -0.7327664838464518, -0.3671282608648063, -0.11370245981612381, -0.8388181958862854, -0.24898722657968753, -1.283821684326356, -0.6388497238350105, -0.48619932481302364, -0.17986376354796552, -0.6856692702679947, -0.9241341325566026, -0.389033525094712, -0.6654880002488963, -0.3935444384123301, -0.44944523241364887, -1.062318724173552, -0.46824510303303146, -0.8431201426430861, -0.9684893954385247, -0.5437648084650104, -0.3564316740957095, -0.4326159046854826, -0.17888523302673104, -0.13224596166916808, -0.5395191703703696, -0.8732692541649533, -0.5493814241093546, -0.8007906418674084, -0.23366365553855262, -0.4619430221680598, -0.8806471880267046, -0.3565437547540067, -0.09877180028765875, -0.7901069003811415, -0.9278202507346938, -0.3355451011878853, -0.23391987784644963, -0.2742240127694011, -0.33931224835669915, -0.7021552018380532, -0.5064334330307226, -0.649587495485197, -0.9570790593675194]","[0.30817917919955695, 0.3073290078106226, 1.0]","[1.0, 1.0, 1.0]","[0.0, 0.06169109044387804, 0.06169108914288835]","[2.348063025570599, 1.4652028271035835, 1.2001349945894113, 0.5213504644291611, 0.5840826079550306, 0.4772584047587398, 0.3901503048193028, 0.2905041932493153, 0.9985720398781764, 1.341461037330678, 1.3926912211045006, 1.3427346706353325, 0.5525133287606544, 1.5631713726654946, 0.688818041056946, 0.6924160793723765, 1.7851229959586794, 0.9389423271674633, 0.6543879935042642, 1.0784256289812726, 1.8168150153285254, 1.0801669195345456, 0.6646690991239408, 1.825217866593731, 0.7414330003030001, 1.9310677690380236, 2.1342409423419446, 2.082838940862349, 1.4184508044028923, 0.6670468662424717]"
14,-4.7483164635929604,19.661061571004407,24.409378034597367,-24.409378034597324,"[-0.7171291533163184, -0.5768740030067385, -0.6137643061639765, -0.27328739962089776, -0.44408566477742695, -0.5381349684705168, -0.3400701571633409, -0.5576318872109469, -0.36712271789364903, -0.1140034744065872, -0.6637025351409851, -0.2052969868647465, -0.975762671367195, -0.6388598776739852, -0.4862071677537618, -0.17986408155928468, -0.5367334656562726, -0.7223089774295113, -0.38903354276721497, -0.6654575394086875, -0.3937822712053298, -0.4508208553524029, -1.0623202043233362, -0.39063351838501537, -0.6519210707875811, -0.9022576796979136, -0.54385260579268, -0.35643061692397726, -0.35506633684794575, -0.1750012642421609, -0.11987706671550413, -0.5419942247364679, -0.6776891975520506, -0.4254443055494801, -0.5777663483001505, -0.23369886339096835, -0.3730695899846457, -0.6263604351443419, -0.35652085366403785, -0.09877067833942926, -0.6082023256142933, -0.9280773555406171, -0.33554564630813166, -0.1544798126132806, -0.26886150361423455, -0.2644848579835451, -0.7021552450989259, -0.5064067186075697, -0.6495811136697617, -0.6729748909594946]","[0.0, 0.08688383827722823, 0.08688383644495429]","[1.0, 1.0, 1.0]","[0.0, 0.028103084807214, 0.02810308421455429]","[3.06424281366598, 1.2844144403334234, 0.9319175217689379, 0.31176253838274604, 0.8651625299695725, 0.4963876359479035, 0.5021600960200919, 0.23457114041936075, 1.3346744656982392, 1.9441167174809788, 2.000328455624135, 1.8698215178122775, 0.5547892159425117, 2.1570368525434924, 0.6699681015977537, 0.6733195180333718, 1.9787525448696188, 1.038602925394417, 0.9203156948820372, 1.211310393937878, 2.5844354088147585, 1.2110660155634227, 0.48989083291011365, 2.4630083577961024, 0.4675529184289954, 2.6042246363045862, 2.833387472463193, 2.7647503023370064, 1.742515703883221, 0.700922052856541]"
15,-4.585168146260724,19.661061571004407,24.24622971726513,-24.246229717265088,"[-0.7171309228415106, -0.5824173321015377, -0.6134288688396656, -0.27328701460990334, -0.43822575012526255, -0.538038717872755, -0.34007010581994235, -0.5574652600690533, -0.36712839014987697, -0.11401103621485953, -0.6635100318331502, -0.20531716257547616, -0.989541587343234, -0.6388595269759201, -0.48620726872378817, -0.17986407550064687, -0.5396556098155922, -0.7325249824462396, -0.3890006988774293, -0.6654943583268043, -0.39362590976502165, -0.4508512781966738, -0.8828664889515321, -0.390634099501604, -0.6519915175833273, -0.9022576989620523, -0.5438800474906054, -0.3563208933567219, -0.34766183827337316, -0.17495895296628405, -0.11987760723935847, -0.5409337840730841, -0.6847041548944779, -0.42513118728149113, -0.572813795022105, -0.23369887217122676, -0.3730704481847824, -0.6283974865111173, -0.3565439411043758, -0.09877040833350531, -0.608609815789813, -0.9280770540163944, -0.3355456174763206, -0.1478337994800376, -0.26848656193736686, -0.26673511041316655, -0.7021551556696022, -0.5064339777699679, -0.6494140978829221, -0.6727694159041384]","[0.00018262778284564962, 0.3497085109122686, 0.9957697549254424]","[1.0, 1.0, 1.0]","[0.0, 0.06213626793180111, 0.06213626662142317]","[1.7320601342215063, 0.7223814071669384, 1.4822315609528416, 0.5152960475926749, 0.9614325982113537, 0.4388858985351607, 0.8907109082026874, 0.3748821454789273, 1.1304004984273044, 1.5659262052122396, 1.6048737323334457, 1.4148537101316283, 0.5076680298926891, 1.4492345978771495, 0.5738335495858405, 0.5733672500422475, 1.1620567089777056, 0.7712641039899204, 1.1400955468709055, 0.8450053268400732, 1.6599148498409717, 0.8435994898049498, 0.9560173687687044, 1.589969931073497, 0.9070635672730454, 1.5959005454558617, 1.6654356990695895, 1.6648388264695084, 1.135190385301449, 1.1796713780952186]"
16,-4.546278144036258,19.661061571004407,24.207339715040664,-24.20733971504062,"[-0.717129240846941, -0.582426873431353, -0.6137960472007864, -0.2732879522363121, -0.44617201230264925, -0.537972045012032, -0.34006996944437173, -0.557644496425538, -0.3671282617286613, -0.11121257766188364, -0.6637400298498731, -0.2053174222053602, -0.9942054191026413, -0.6388591629995107, -0.48620658825952323, -0.1798639208092534, -0.48350039505305975, -0.7185922331323917, -0.3890377302460894, -0.6654945414640949, -0.3937822780110145, -0.4508492201069293, -0.8828695379271401, -0.39063356975406216, -0.6519818211833961, -0.9022143047931213, -0.5438785713445973, -0.35643145139045895, -0.35507830374832045, -0.1749923258702415, -0.11987705103443796, -0.5419925267748747, -0.6847070694716316, -0.4254441781631506, -0.5829825754006721, -0.2336978566455461, -0.37304954018187897, -0.6284129971152432, -0.35654366928235914, -0.09877158494971125, -0.6086097117659376, -0.9278989576218636, -0.33554540371454467, -0.15378162704883336, -0.2688584614421099, -0.2667299102726432, -0.7021547480172159, -0.5064503361329357, -0.644269039425144, -0.6731941670382819]","[0.0, 0.3460557059337155, 1.0]","[1.0, 1.0, 1.0]","[0.0, 0.008883500571936716, 0.008883500571936716]","[4.1200802648763295, 2.5601723379358785, 2.294483681965309, 1.2508998750203093, 1.3654660495283597, 0.9821278611623551, 0.9669521145549282, 0.6393735480719234, 2.3791438719015523, 3.002830790963882, 3.1314677213653104, 2.7359726079664535, 1.2362642010582543, 3.1948290254751273, 1.5587472297592246, 1.562391636185132, 3.174560899595104, 1.8892042259669402, 1.5833792286716455, 2.2475687587466715, 3.598431023077099, 2.2482482372104458, 1.4415275209611298, 3.4495015861394798, 1.6376289158314397, 3.6484334657393878, 3.8829585130155, 3.7919203940602673, 2.8122699875550876, 1.5180229468643882]"
17,-3.589477780229661,19.661061571004407,23.250539351234067,-23.250539351234025,"[-0.7171291219939682, -0.4876920052498104, -0.6137953369979605, -0.27328744657421833, -0.36976318099040706, -0.5381358716701385, -0.3400699664975333, -0.5040904348364972, -0.36712820888876574, -0.11171949677067872, -0.6632844781887377, -0.20531320573087775, -0.8866792706298724, -0.6388300191194329, -0.4862073038744106, -0.1798324892312141, -0.48518279532648345, -0.6877366027436795, -0.38903966474110746, -0.6647447907678418, -0.389120471124468, -0.4508509552657203, -0.8828683543151317, -0.39063349512476786, -0.6519921658359173, -0.9022572774558228, -0.5438790212957025, -0.35643145088989847, -0.22284971257833275, -0.17500153981115485, -0.11894302284090352, -0.5417433142463166, -0.5299073340086482, -0.42544407879852475, -0.5728134824165776, -0.2336969092015052, -0.3730694882876273, -0.5526890240857543, -0.35654402631984294, -0.09877186066522642, -0.4598179042877434, -0.9280762168295127, -0.3355449358414351, -0.13260614162500506, -0.2688588012525408, -0.22001464695148054, -0.7021550254743116, -0.5063801287439078, -0.6495609590430002, -0.6683559157936134]","[0.0, 0.0, 0.3104653696419333]","[1.0, 1.0, 1.0]","[0.0, 0.06217411234731344, 0.06217411103633345]","[1.6554114411449352, 0.5949838951454451, 1.4797788971105375, 0.4744847368120474, 0.8325474155619829, 0.3547659736799384, 0.7858256580863666, 0.32432224421693273, 1.0780926453994615, 1.5305461147239092, 1.5838427130833128, 1.3026744229894691, 0.4385879455131127, 1.3838785024768971, 0.5063822818867386, 0.5055537625529952, 1.0490753317076522, 0.660305402827079, 1.0488099253806729, 0.7585143813280434, 1.6029121084275788, 0.7568747719276725, 0.9179837332360854, 1.4951230634378274, 0.899645195704763, 1.5245300522946477, 1.5913224080322195, 1.579129115431734, 1.0453329360412587, 1.1046702249055451]"
18,-4.781854306812786,19.661061571004407,24.442915877817192,-24.44291587781715,"[-0.7141952132904281, -0.6096813549889346, -0.6133711356455832, -0.2732874827803775, -0.4169761252860894, -0.4686525847163203, -0.34007009146603717, -0.5697253898730965, -0.36695145593461787, -0.1098084398174779, -0.7789988194009259, -0.20531733719140255, -1.2546090754972967, -0.6388555681633461, -0.48620725672505083, -0.1798641269243525, -0.6198993262879454, -0.8700202445218901, -0.24412864335442067, -0.6654940997037593, -0.3853255007385067, -0.5807915622291083, -1.209908044985618, -0.390633577832753, -0.7556919579840293, -0.9022576321418265, -0.4440464099028202, -0.356431558707334, -0.2892433285326945, -0.17485706563748615, -0.1211971470688395, -0.3184404619255282, -0.7215093528023646, -0.4254439947692892, -0.5728094755867714, -0.23369895456452383, -0.3730696792991184, -0.61233797595369, -0.35654401647541567, -0.09877179315872678, -0.6650751455595363, -0.5420071033038789, -0.24961791995018467, -0.14443544534580866, -0.28432613554460473, -0.21590502657466287, -0.7021259205656571, -0.5063876112193516, -0.6494233826009941, -0.7344889252866766]","[0.3289388483821111, 0.0, 0.5372800968715452]","[1.0, 1.0, 1.0]","[0.0, 0.008878057976933338, 0.008878057789705946]","[0.7002197381198978, 0.5394450657920977, 0.5813897737519684, 0.45702819685546126, 0.3502522339279038, 0.269652699936757, 0.33303604774426254, 0.25833725164833604, 0.5503520731574564, 0.6768042608898199, 0.7091140307408108, 0.5382196734555447, 0.3618490386203458, 0.6221603412307546, 0.441859899551285, 0.4418172169695825, 0.5369349589290594, 0.38250798650266044, 0.44683457130444615, 0.47683564048490545, 0.6913298519315587, 0.4767354859169114, 0.41301776090685766, 0.6235646595501403, 0.4629676330676686, 0.6608662445250488, 0.6805411556104101, 0.6630248370082291, 0.5283175098368638, 0.4484119645306777]"
