k,LB,UB,gap,sum_ms,ms,added_nodes,UB_node,new_nodes,as_nodes
9,-2.8366684870292382,0.1640184562695457,3.000686943298784,-3.0006869434916625,[-3.0006869434916625],"[3.9184586360808943e-07, 0.9045883595333905, 0.9045883354505764]","[10.0, 10.0, 0.0]","[0.0, 0.904588359533, 0.9045891432354126]","[3.9007114612311193, 1.3181867814258295, 0.3985496797003679, 0.45271689769596524, 0.17764306279950365, 0.2956157280989043, 0.1640184564624242, 0.24791484025329613, 0.5881227971535641, 0.6752096863208248, 0.4567361911810315, 0.6952065475538637, 1.1708066719364545, 1.5620987180897277, 1.5778320793421405, 1.5206947153982646, 1.8651785097728608, 0.8272223702416246, 2.771649487961154, 2.2543275951377746, 2.253276160393631, 2.27920701589312, 2.770926936444067, 2.2417463390505916, 0.5881226050746438, 0.588122517073502, 3.9006852661210405, 0.588122651800849, 3.900689819474029, 0.5881228899963841]"
10,-2.6462988284906195,0.16401845646242433,2.810317284953044,-2.810317284953044,[-2.810317284953044],"[0.0, 0.7937075757224092, 0.5313235760600459]","[10.0, 10.0, 0.0]",null,null
11,-2.450118028874224,0.16401845646242433,2.6141364853366484,-2.6141364853366484,[-2.6141364853366484],"[1.999995713943921, 0.0, 0.3300134848058893]","[10.0, 10.0, 0.0]",null,null
12,-2.5054291768576396,0.16401845646242433,2.669447633320064,-2.669447633320064,[-2.669447633320064],"[1.4398266426160924, 0.0, 0.0]","[10.0, 10.0, 0.0]",null,null
13,-2.312720912930945,0.16401845646242433,2.4767393693933695,-2.4767393693933695,[-2.4767393693933695],"[0.0, 0.722885775816736, 0.0]","[10.0, 10.0, 0.0]",null,null
14,-1.365301655437782,0.16401845646242433,1.5293201119002062,-1.529320111900206,[-1.529320111900206],"[3.918484577732658e-07, 0.2007139999062302, 0.4883443631825557]","[10.0, 10.0, 0.0]",null,null
15,-1.3404082861218205,0.16401845646242433,1.5044267425842448,-1.5044267425842448,[-1.5044267425842448],"[0.46127094604424723, 0.0, 0.16961960636768814]","[10.0, 10.0, 0.0]",null,null
16,-1.2694830972288225,0.16401845646242433,1.4335015536912468,-1.4335015536912465,[-1.4335015536912465],"[3.918475677266999e-07, 0.2097159006484264, 0.5053932295886424]","[10.0, 10.0, 0.0]",null,null
17,-1.250369797801227,0.16401845646242433,1.4143882542636512,-1.4143882542636512,[-1.4143882542636512],"[0.0, 0.0, 2.405183973852422]","[10.0, 10.0, 0.0]",null,null
18,-0.7891119000774953,0.16401845646242433,0.9531303565399196,-0.9531303565399195,[-0.9531303565399195],"[0.0, 0.5981572698632034, 2.8641759103660247]","[10.0, 10.0, 0.0]",null,null
19,-0.6074538198221339,0.16401845646242433,0.7714722762845582,-0.7714722762845581,[-0.7714722762845581],"[2.364143774042931e-07, 0.04242768823096937, 0.24719992940985508]","[10.0, 10.0, 0.0]",null,null
20,-0.1491492744464057,0.16401845646242433,0.31316773090883,-0.3131677309088299,[-0.3131677309088299],"[3.4778273824501396e-07, 0.10206090233838322, 0.24831783722940098]","[10.0, 10.0, 0.0]",null,null
21,-0.9157361072363283,0.16401845646242433,1.0797545636987527,-1.0797545636987524,[-1.0797545636987524],"[2.107175208228797e-07, 0.1021671440475383, 0.2485763271196184]","[10.0, 10.0, 0.0]",null,null
22,0.02316755067690346,0.16401845646242433,0.14085090578552087,-0.14085090578552073,[-0.14085090578552073],"[2.36414e-07, 0.08944551212703815, 0.31976741193719743]","[10.0, 10.0, 0.0]",null,null
23,-0.470972812775866,0.16401845646242433,0.6349912692382903,-0.6349912692382902,[-0.6349912692382902],"[0.0, 0.0, 0.5846479031351266]","[10.0, 10.0, 0.0]",null,null
24,-0.5931099070384517,0.16401845646242433,0.757128363500876,-0.7571283635008759,[-0.7571283635008759],"[0.0, 0.10087491496315715, 0.26955487661088795]","[10.0, 10.0, 0.0]",null,null
25,0.16401818121570888,0.16401845646242433,2.7524671544765233e-07,-2.7524671530887446e-07,[-2.7524671530887446e-07],"[7.792886053940983e-07, 0.9045883590129523, 0.9045891278910968]","[10.0, 10.0, 0.0]",null,null
26,0.05636435801560169,0.16401845646242433,0.10765409844682264,-0.1076540984468225,[-0.1076540984468225],"[7.836983161121101e-07, 0.9045886622409001, 0.9045891432313214]","[10.0, 10.0, 0.0]",null,null
27,0.16400874504788987,0.16401845646242433,9.711414534457896e-06,-9.711414534319118e-06,[-9.711414534319118e-06],"[0.0, 1.023910243311209e-06, 2.4912103588142566e-06]","[10.0, 10.0, 0.0]",null,null
28,0.16401803755964806,0.16401845646242433,4.18902776272434e-07,-4.189027761336561e-07,[-4.189027761336561e-07],"[7.836940261185536e-07, 0.9045883595492216, 0.9045883595492215]","[10.0, 10.0, 0.0]",null,null
29,0.16399618529333526,0.16401845646242433,2.2271169089066456e-05,-2.2271169088927678e-05,[-2.2271169088927678e-05],"[7.837002300448152e-07, 7.969921369532788e-07, 4.1753311554941816e-07]","[10.0, 10.0, 0.0]",null,null
30,0.16401853542820688,0.16401845646242433,-7.896578255173203e-08,7.896578269050991e-08,[7.896578269050991e-08],"[0.0, 0.904588359533, 0.9045891432354126]","[10.0, 10.0, 0.0]",null,null
